権利付最終日,銘柄コード,銘柄名,市場,貸借,始値,始値/前日終値,前日出来高,時価総額,発行株数,PER,PBR,単位,逆日歩_料率,逆日歩_日数,日証金_当日買い残高,日証金_当日買い新規,日証金_当日売り残高,日証金_当日売り新規,日証金_当日残高倍率,日証金_前日買い残高,日証金_前日買い新規,日証金_前日売り残高,日証金_前日売り新規,日証金_前日残高倍率,逆日歩確報
2013-02-25,3222,ユナイテッド・スーパーマーケット・ホールディングス,東1,貸借,,,,,,,,100,0.0,1,,,,,,,,,,,0.0
2013-02-25,3223,エスエルディー,JQS,制度,,,,,,,,100,0.0,1,,,,,,,,,,,0.0
2013-02-25,3280,エストラスト,東1,貸借,740.0,0.9932432432432432,46700.0,3649680000.0,4932000.0,6.72,1.73,100,0.0,1,,,,,,,,,,,0.0
2013-02-25,3384,アークコア,名セ,非制度,370.0,0.8648648648648649,10100.0,728900000.0,1970000.0,8.09,1.41,100,0.0,1,,,,,,,,,,,0.0
2013-02-25,3387,クリエイト・レストランツ・ホールディングス,東1,貸借,104.0,1.0192307692307692,955800.0,19754930000.0,189951250.0,14.99,5.28,100,0.0,1,2700.0,600.0,0.0,0.0,-1.0,19800.0,1500.0,0.0,0.0,-1.0,0.0
2013-02-25,3490,アズ企画設計,JQS,不明,,,,,,,,100,0.0,1,,,,,,,,,,,0.0
2013-02-25,3492,タカラレーベン不動産投資法人,東証,不明,,,,,,,,1,0.0,1,,,,,,,,,,,0.0
2013-02-25,3543,コメダホールディングス,東1,制度,,,,,,,,100,0.0,1,,,,,,,,,,,0.0
2013-02-25,3546,アレンザホールディングス,東1,制度,,,,,,,,100,0.0,1,,,,,,,,,,,0.0
2013-02-25,3548,バロックジャパンリミテッド,東1,貸借,,,,,,,,100,0.0,1,,,,,,,,,,,0.0
2013-02-25,3550,スタジオアタオ,東M,制度,,,,,,,,100,0.0,1,,,,,,,,,,,0.0
2013-02-25,3557,ユナイテッド＆コレクティブ,東M,制度,,,,,,,,100,0.0,1,,,,,,,,,,,0.0
2013-02-25,3558,ロコンド,東M,制度,,,,,,,,100,0.0,1,,,,,,,,,,,0.0
2013-02-25,3608,ＴＳＩホールディングス,東1,貸借,492.0,1.0060975609756098,507600.0,56965380000.0,115783292.68292683,-1.0,0.48,100,0.05,1,74400.0,18700.0,140200.0,90300.0,0.53,64200.0,1500.0,52900.0,52000.0,1.21,0.05
2013-02-25,3670,協立情報通信,JQS,制度,2410.0,1.037344398340249,4200.0,2892000000.0,1200000.0,22.28,3.21,100,0.0,1,,,,,,,,,,,0.0
